parameter1,parameter2,criteria1,criteria2,constraint1,constraint2
10,10,20,0,1,0
10,10.25,20.25,15.9043,1,1
10,10.5,20.5,32.2013,1,1
10,10.75,20.75,48.891,1,1
10,11,21,65.9734,1,1
10,11.25,21.25,83.4486,1,1
10,11.5,21.5,101.316,1,1
10,11.75,21.75,119.577,1,1
10,12,22,138.23,1,1
10,12.25,22.25,157.276,1,1
10,12.5,22.5,176.715,1,1
10,12.75,22.75,196.546,1,1
10,13,23,216.77,1,1
10,13.25,23.25,237.387,1,1
10,13.5,23.5,258.396,1,1
10,13.75,23.75,279.798,1,1
10,14,24,301.593,1,1
10,14.25,24.25,323.78,1,1
10,14.5,24.5,346.361,1,1
10,14.75,24.75,369.333,1,1
10,15,25,392.699,1,1
10,15.25,25.25,416.457,1,1
10,15.5,25.5,440.608,1,1
10,15.75,25.75,465.152,1,1
10,16,26,490.088,1,1
10,16.25,26.25,515.418,1,1
10,16.5,26.5,541.139,1,1
10,16.75,26.75,567.254,0,1
10,17,27,593.761,0,1
10,17.25,27.25,620.661,0,1
10,17.5,27.5,647.953,0,1
10,17.75,27.75,675.639,0,1
10,18,28,703.717,0,1
10,18.25,28.25,732.187,0,1
10,18.5,28.5,761.051,0,1
10,18.75,28.75,790.307,0,1
10,19,29,819.956,0,1
10,19.25,29.25,849.997,0,1
10,19.5,29.5,880.431,0,1
10,19.75,29.75,911.258,0,1
10,20,30,942.478,0,1
10,20.25,30.25,974.09,0,1
10,20.5,30.5,1006.1,0,1
10,20.75,30.75,1038.49,0,1
10,21,31,1071.28,0,1
10,21.25,31.25,1104.47,0,1
10,21.5,31.5,1138.04,0,1
10,21.75,31.75,1172.01,0,1
10,22,32,1206.37,0,1
10,22.25,32.25,1241.13,0,1
10,22.5,32.5,1276.27,0,1
10,22.75,32.75,1311.81,0,1
10,23,33,1347.74,0,1
10,23.25,33.25,1384.07,0,1
10,23.5,33.5,1420.79,0,1
10,23.75,33.75,1457.9,0,1
10,24,34,1495.4,0,1
10,24.25,34.25,1533.29,0,1
10,24.5,34.5,1571.58,0,1
10,24.75,34.75,1610.26,0,1
10,25,35,1649.34,0,1
10,25.25,35.25,1688.8,0,1
10,25.5,35.5,1728.66,0,1
10,25.75,35.75,1768.91,0,1
10,26,36,1809.56,0,1
10,26.25,36.25,1850.59,0,1
10,26.5,36.5,1892.02,0,1
