parameter1,parameter2,criteria1,criteria2,constraint1,constraint2
88.012,12.817,100.829,-23819,1,0
56.818,49.06,105.878,-2580.51,1,0
33.049,31.159,64.208,-381.242,1,0
51.229,50.554,101.783,-215.838,1,0
59.32,23.653,82.973,-9297.22,1,0
79.516,23.365,102.881,-18148.6,1,0
33.076,74.926,108.002,14199.6,0,1
14.662,79.129,93.791,18995.4,0,1
51.112,34.939,86.051,-4372.16,1,0
83.89,69.886,153.776,-6765.35,1,0
94.366,82.585,176.951,-6549.15,1,0
35.533,13.771,49.304,-3370.78,1,0
99.424,31.519,130.943,-27934.1,1,0
67.366,93.07,160.436,12955.4,1,1
54.334,57.601,111.935,1148.85,1,1
16.444,99.514,115.958,30261.8,0,1
60.427,30.43,90.857,-8562.21,1,0
15.751,83.476,99.227,21112,0,1
51.598,24.148,75.746,-6532.09,1,0
34.039,10.918,44.957,-3265.53,1,0
37.81,70.723,108.533,11222.2,0,1
81.451,60.886,142.337,-9195.95,1,0
45.649,86.122,131.771,16754.6,0,1
40.024,53.929,93.953,4104.23,1,1
78.229,23.914,102.143,-17429.2,1,0
80.983,39.763,120.746,-15636.2,1,0
63.667,16.516,80.183,-11877.4,1,0
43.543,63.091,106.634,6548.59,1,1
95.212,68.077,163.289,-13919.9,1,0
23.329,16.714,40.043,-832.159,1,0
25.678,29.773,55.451,713.367,1,1
73.396,76.105,149.501,1272.34,1,1
50.203,46.315,96.518,-1178.92,1,0
59.59,58.969,118.559,-231.3,1,0
60.472,50.797,111.269,-3382.01,1,0
27.064,55.45,82.514,7358.37,0,1
21.52,65.683,87.203,12098.7,0,1
16.336,24.337,40.673,1022.35,1,1
18.973,13.528,32.501,-555.961,1,0
35.434,87.211,122.645,19949.7,0,1
84.61,16.417,101.027,-21643.5,1,0
26.974,48.277,75.251,5036.2,0,1
22.942,27.685,50.627,754.371,1,1
68.536,75.322,143.858,3066.89,1,1
85.762,81.865,167.627,-2052.22,1,0
49.204,68.617,117.821,7185.64,1,1
68.806,22.6,91.406,-13268.5,1,0
44.722,76.186,120.908,11951.4,0,1
58.924,61.48,120.404,966.833,1,1
35.155,76.564,111.719,14533.5,0,1
69.445,19.387,88.832,-13969.9,1,0
32.014,48.133,80.147,4058.59,1,1
75.079,95.518,170.597,10954.2,1,1
62.47,84.052,146.522,9934.46,1,1
99.055,87.904,186.959,-6549.53,1,0
38.431,83.665,122.096,17350.7,0,1
94.33,22.582,116.912,-26352.3,1,0
89.119,74.44,163.559,-7542.6,1,0
97.435,24.823,122.258,-27889.2,1,0
16.93,50.374,67.304,7071.46,0,1
63.865,23.302,87.167,-11107.9,1,0
18.991,32.671,51.662,2220.28,0,1
35.902,20.881,56.783,-2679.58,1,0
66.025,51.994,118.019,-5202.24,1,0
39.538,58.357,97.895,5787.71,1,1
85.726,98.983,184.709,7692.78,1,1
67.744,74.908,142.652,3210.58,1,1
47.125,99.991,147.116,24433.5,0,1
70.435,66.763,137.198,-1582.71,1,0
84.052,69.49,153.542,-7024.22,1,0
54.676,79.651,134.327,10539.5,1,1
20.323,16.174,36.497,-475.719,1,0
59.401,99.442,158.843,19981.3,0,1
47.782,56.845,104.627,2978.97,1,1
81.442,21.88,103.322,-19333.6,1,0
