parameter1,parameter2,criteria1,criteria2,constraint1,constraint2
97.336,60.193,157.529,-18381.8,1,0
60.454,30.889,91.343,-8484.05,1,0
61.849,38.836,100.685,-7279.27,1,0
73,63.676,136.676,-4003.54,1,0
93.25,47.629,140.879,-20191.1,1,0
95.131,79.327,174.458,-8661.79,1,0
71.461,45.55,117.011,-9524.91,1,0
96.823,52.309,149.132,-20855.3,1,0
50.392,91.234,141.626,18171.9,0,1
51.067,20.116,71.183,-6921.51,1,0
63.298,56.692,119.99,-2490.2,1,0
37.018,37.936,74.954,216.166,1,1
74.215,40.06,114.275,-12261.8,1,0
31.609,50.149,81.758,4762.01,1,1
61.039,75.457,136.496,6182.65,1,1
87.22,25.543,112.763,-21849.4,1,0
92.827,14.842,107.669,-26378.6,1,0
13.6,54.676,68.276,8810.61,0,1
10.846,76.6,87.446,18063.9,0,1
75.52,94.096,169.616,9898.49,1,1
81.406,70.651,152.057,-5137.68,1,0
73.432,52.867,126.299,-8159.78,1,0
16.21,37.423,53.633,3574.24,0,1
62.344,23.77,86.114,-10435.6,1,0
85.825,70.579,156.404,-7491.24,1,0
91.054,49.123,140.177,-18465.5,1,0
27.28,28.072,55.352,137.724,1,1
44.227,58.663,102.89,4666.27,1,1
58.141,33.004,91.145,-7197.74,1,0
98.812,76.348,175.16,-12361.5,1,0
98.47,53.209,151.679,-21567.5,1,0
91.9,91.297,183.197,-347.045,1,0
58.051,95.5,153.551,18065.2,1,1
13.141,58.906,72.047,10358.6,0,1
39.277,78.661,117.938,14592.3,0,1
20.17,20.683,40.853,65.8402,1,1
16.489,50.77,67.259,7243.59,0,1
30.718,79.867,110.585,17075,0,1
45.361,83.062,128.423,15210.6,0,1
60.805,31.186,91.991,-8559.84,1,0
20.809,51.868,72.677,7091.44,0,1
37.477,95.257,132.734,24094,0,1
69.94,38.872,108.812,-10620.4,1,0
53.929,85.249,139.178,13694.4,1,1
61.885,19.909,81.794,-10786.3,1,0
61.606,60.355,121.961,-479.323,1,0
63.118,20.674,83.792,-11173,1,0
18.82,78.346,97.166,18170.7,0,1
16.174,79.129,95.303,18848.9,0,1
94.42,45.451,139.871,-21517.8,1,0
24.958,71.758,96.716,14219.8,0,1
23.302,31.447,54.749,1400.93,1,1
79.705,44.02,123.725,-13870.5,1,0
68.482,25.066,93.548,-12759.5,1,0
84.25,29.296,113.546,-19602.9,1,0
46.261,95.068,141.329,21670.2,0,1
71.164,40.906,112.07,-10653.2,1,0
57.493,98.272,155.765,19955.2,0,1
69.787,11.422,81.209,-14890.4,1,0
50.698,31.672,82.37,-4923.41,1,0
78.508,12.304,90.812,-18887.6,1,0
